n_chunks, chunks_size, qos, sync, size, ns
1,32,1,1,Tiny,56015264
1,32,1,1,Tiny,35244324
1,32,1,1,Tiny,36761414
1,32,1,1,Tiny,49287496
1,32,1,1,Tiny,47649984
1,32,1,1,Small,264718710
1,32,1,1,Small,255949092
1,32,1,1,Small,280914949
1,32,1,1,Small,262715597
1,32,1,1,Small,283485914
1,32,1,1,Medium,602979201
1,32,1,1,Medium,650832851
1,32,1,1,Medium,626030548
1,32,1,1,Medium,643809646
1,32,1,1,Medium,628912335
1,32,1,1,Large,1348268354
1,32,1,1,Large,1278277880
1,32,1,1,Large,1213932088
1,32,1,1,Large,1174016567
1,32,1,1,Large,1385452852
1,32,1,1,Huge,2289691830
1,32,1,1,Huge,2514783195
1,32,1,1,Huge,2228057510
1,32,1,1,Huge,2121168640
1,32,1,1,Huge,2284457450
1,32,1,0,Tiny,43918518
1,32,1,0,Tiny,101758272
1,32,1,0,Tiny,142743000
1,32,1,0,Tiny,182165847
1,32,1,0,Tiny,228315398
1,32,1,0,Tiny,281131631
1,32,1,0,Small,317570330
1,32,1,0,Small,606382611
1,32,1,0,Small,883434297
1,32,1,0,Small,1246071060
1,32,1,0,Small,1537386529
1,32,1,0,Medium,1944626376
1,32,1,0,Medium,1050421231
1,32,1,0,Medium,1705313307
1,32,1,0,Medium,2352636102
1,32,1,0,Medium,2976736678
1,32,1,0,Medium,3683039153
1,32,1,0,Large,4419148774
1,32,1,0,Large,2031236598
1,32,1,0,Large,3434177556
1,32,1,0,Large,4902376876
1,32,1,0,Large,6208737144
1,32,1,0,Large,7597644948
1,32,1,0,Huge,8849898380
1,32,1,0,Huge,3785892024
1,32,1,0,Huge,6485543850
1,32,1,0,Huge,9005905074
1,32,1,0,Huge,11536332498
1,32,1,0,Huge,14107757432
1,32,1,0,Huge,16757434044
1,64,1,1,Tiny,21824769
1,64,1,1,Tiny,18568984
1,64,1,1,Tiny,19538377
1,64,1,1,Tiny,19372946
1,64,1,1,Tiny,19449211
1,64,1,1,Small,123188127
1,64,1,1,Small,132027232
1,64,1,1,Small,139144204
1,64,1,1,Small,161116850
1,64,1,1,Small,130981257
1,64,1,1,Medium,299981005
1,64,1,1,Medium,297175200
1,64,1,1,Medium,298420711
1,64,1,1,Medium,364062009
1,64,1,1,Medium,316003898
1,64,1,1,Large,706788061
1,64,1,1,Large,713901611
1,64,1,1,Large,729061385
1,64,1,1,Large,632600504
1,64,1,1,Large,604225560
1,64,1,1,Huge,1129100133
1,64,1,1,Huge,1211625390
1,64,1,1,Huge,1104384911
1,64,1,1,Huge,1369772600
1,64,1,1,Huge,1133199418
1,64,1,0,Tiny,20107712
1,64,1,0,Tiny,46473031
1,64,1,0,Tiny,67115082
1,64,1,0,Tiny,85532674
1,64,1,0,Tiny,104742149
1,64,1,0,Small,126673786
1,64,1,0,Small,162586662
1,64,1,0,Small,294550367
1,64,1,0,Small,420273983
1,64,1,0,Small,548925707
1,64,1,0,Small,682226826
1,64,1,0,Small,841002160
1,64,1,0,Medium,306196201
1,64,1,0,Medium,695268560
1,64,1,0,Medium,1044414287
1,64,1,0,Medium,1352658718
1,64,1,0,Medium,1675108875
1,64,1,0,Medium,1962400806
1,64,1,0,Large,667339044
1,64,1,0,Large,1228731721
1,64,1,0,Large,1785156702
1,64,1,0,Large,2402505863
1,64,1,0,Large,3002577638
1,64,1,0,Large,3592296192
1,64,1,0,Huge,1322514079
1,64,1,0,Huge,2628269821
1,64,1,0,Huge,3882345214
1,64,1,0,Huge,5263519171
1,64,1,0,Huge,6403919282
1,64,1,0,Huge,7591363233
1,128,1,1,Tiny,28475347
1,128,1,1,Tiny,26355478
1,128,1,1,Tiny,21023028
1,128,1,1,Tiny,9956480
1,128,1,1,Tiny,9518005
1,128,1,1,Small,70278547
1,128,1,1,Small,63551100
1,128,1,1,Small,65907197
1,128,1,1,Small,63587698
1,128,1,1,Small,83401147
1,128,1,1,Medium,187109768
1,128,1,1,Medium,199474294
1,128,1,1,Medium,171387331
1,128,1,1,Medium,172636217
1,128,1,1,Medium,174814956
1,128,1,1,Large,314822715
1,128,1,1,Large,286780724
1,128,1,1,Large,382016013
1,128,1,1,Large,300626603
1,128,1,1,Large,292047104
1,128,1,1,Huge,636447827
1,128,1,1,Huge,581638709
1,128,1,1,Huge,662419967
1,128,1,1,Huge,620884979
1,128,1,1,Huge,584545450
1,128,1,0,Tiny,13676639
1,128,1,0,Tiny,34662078
1,128,1,0,Tiny,46976522
1,128,1,0,Tiny,56058960
1,128,1,0,Tiny,66809278
1,128,1,0,Tiny,74161686
1,128,1,0,Small,74411519
1,128,1,0,Small,161338335
1,128,1,0,Small,232213571
1,128,1,0,Small,308382726
1,128,1,0,Small,378399450
1,128,1,0,Small,479953505
1,128,1,0,Medium,172762369
1,128,1,0,Medium,346893343
1,128,1,0,Medium,516663413
1,128,1,0,Medium,690004148
1,128,1,0,Medium,845183561
1,128,1,0,Medium,1029061397
1,128,1,0,Large,365295052
1,128,1,0,Large,738051696
1,128,1,0,Large,1110302635
1,128,1,0,Large,1458312060
1,128,1,0,Large,1786352146
1,128,1,0,Large,2097550504
1,128,1,0,Huge,740872206
1,128,1,0,Huge,1398784635
1,128,1,0,Huge,2100248583
1,128,1,0,Huge,2822273393
1,128,1,0,Huge,3403066872
1,128,1,0,Huge,3998115570
1,256,1,1,Tiny,6191496
1,256,1,1,Tiny,5717792
1,256,1,1,Tiny,5357889
1,256,1,1,Tiny,5481453
1,256,1,1,Tiny,5311712
1,256,1,1,Small,35840872
1,256,1,1,Small,55707079
1,256,1,1,Small,35140999
1,256,1,1,Small,60570260
1,256,1,1,Small,34383658
1,256,1,1,Medium,135460821
1,256,1,1,Medium,74754392
1,256,1,1,Medium,77514137
1,256,1,1,Medium,95697070
1,256,1,1,Medium,79807290
1,256,1,1,Large,146789039
1,256,1,1,Large,149883948
1,256,1,1,Large,162715765
1,256,1,1,Large,177348961
1,256,1,1,Large,163006773
1,256,1,1,Huge,335418916
1,256,1,1,Huge,311468844
1,256,1,1,Huge,354136067
1,256,1,1,Huge,357954408
1,256,1,1,Huge,311093734
1,256,1,0,Tiny,10819744
1,256,1,0,Tiny,17639442
1,256,1,0,Tiny,27832177
1,256,1,0,Tiny,33964733
1,256,1,0,Tiny,50164427
1,256,1,0,Tiny,48786520
1,256,1,0,Small,44324528
1,256,1,0,Small,80295818
1,256,1,0,Small,122721522
